"Table 2.4.6. Real Personal Consumption Expenditures by Type of Product, Chained Dollars"
"Table 2.4.6. Real Personal Consumption Expenditures by Type of Product, Chained Dollars"
"Last Revised on: August 26, 2026 - Next Release Date September 30, 2026"
Line,,2024,2024,2024,2024,2025,2025,2025,2025,2026,2026
Line,,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2
112,"        Gross output of nonprofit institutions (133)2",1712.2,1712.4,1747.2,1739.9,1736.8,1744.6,1772.7,1781.2,1795.8,1817.6
113,"        Less: Receipts from sales of goods and services by nonprofit institutions (134)3",1302.9,1290.5,1316.5,1319.1,1330.0,1349.8,1373.6,1373.9,1369.5,1394.5
114,Residual,-186.8,-199.1,-208.5,-232.2,-240.2,-244.5,-263.9,-274.2,-270.9,-277.4

Legend/Footnotes
"1. Net expenses of NPISHs, defined as their gross operating expenses less primary sales to households."
"2. Gross output is net of unrelated sales, secondary sales, and sales to business, government, and the rest of the world; excludes own-account investment (construction and software)."
"3. Excludes unrelated sales, secondary sales, and sales to business, government, and the rest of the world; includes membership dues and fees."
Note.The figures in parentheses are the line numbers of the corresponding items in table 2.5.6.
"Note. Chained (2017) dollar series are calculated as the product of the chain-type quantity index and the 2017 current-dollar value of the corresponding series, divided by 100. Because the formula for the chain-type quantity indexes uses weights of more than one period, the corresponding chained-dollar estimates are usually not additive. The residual line is the difference between the first line and the sum of the most detailed lines."
